Candidate Age,Candidate Gender,Highest Qualification,Job Title,CTC (Yearly),Employment Type,Marriage Status,Disability Status,Course Name,Course Sector,Candidate City,Present Village,Present District,Present State,Present Country,Job Designation,Job Location
20,Female,Higher Secondary Pass,Accountant,25000,Salaried,Unmarried,No,Self Employed Tailor,Apparel,Pune,Kelewadi ,Pune,MAHARASHTRA,India,Accountant,Pune
24,Male,ITI pass,Trainee Technician,14000,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Bangalore,Kacheriparambu,Palakkad,KERALA,India,Trainee Technician,Bangalore
20,Male,10th Pass,Trainee Technician,14500,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Bangalore,NECHULLY,Palakkad,KERALA,India,Trainee Technician,Bangalore
23,Male,Higher Secondary Pass,Store Associate,13138,Salaried,Unmarried,No,Self Employed Tailor,Apparel,Pune,Kothrud,Pune,MAHARASHTRA,India,Store Associate,Pune
20,Male,Higher Secondary Pass,Trainee Process Associate,11835,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Pune,Wagholi ,Pune,MAHARASHTRA,India,Trainee Process Associate,Pune
19,Female,10th Pass,Tution teacher,2500,Self Employed,Unmarried,No,Certificate Course in Tally - 2- I,IT-ITeS,Ahmedabad,Sarkhej,Ahmedabad,GUJARAT,India,Tution teacher,Sarkhej
23,Female,Higher Secondary Pass,beauty and wellness ,5000,Salaried,Unmarried,No,Self Employed Tailor,Apparel,West Delhi,Kirti Nagar,West Delhi,DELHI,India,beautician ,tilak nagar 
23,Male,Higher Secondary Pass,Officer sales,15866,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Pune,Swarget ,Pune,MAHARASHTRA,India,Officer sales,pune
26,Female,Higher Secondary Pass,Trainer- Beauty & wellness ,20000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,New Delhi,Meerut,East Delhi,DELHI,India,trainer,delhi
32,Male,Higher Secondary Pass,Field Executive,20000,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Kotharud,Pune,MAHARASHTRA,India,Field Executive,Pune
24,Male,Higher Secondary Pass,Sr. Associate,13646,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Jhajjar,Sondhi,Jhajjar,HARYANA,India,Sr. Associate,Jhajjar
20,Male,Higher Secondary Pass,Associate,14397,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Jhajjar,Sondhi,Jhajjar,HARYANA,India,Associate,Jhajjar
37,Female,10th Pass,Associate,13646,Salaried,Married,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Jhajjar,Sondhi,Jhajjar,HARYANA,India,Associate,Jhajjar
23,Male,ITI pass,Trainee Associate,32993,Salaried,Unmarried,No, Certificate Course for CNC Operator,Automotive,Gautam Buddha Nagar,Burari,North Delhi,DELHI,India,Trainee Associate,Chennai
24,Female,Higher Secondary Pass,general duty assistant,4500,Wage Employment- Full Time,Separated,No,Certificate Course for Data Entry Operator - 2,Others,Indore,Diken ,Neemuch,MADHYA PRADESH,India,medical store assistant,Diken
24,Female,10th Pass,general duty assistant,4500,Wage Employment- Full Time,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,Ujjain,Diken ,Neemuch,MADHYA PRADESH,India,medical store assistant,Ratangarh
26,Female,Higher Secondary Pass,Assistant Beauty Therapist,7000,Salaried,Unmarried,No, Certificate Course for CNC Operator,Automotive,East Sikkim,Dalapchand,East Sikkim,SIKKIM,India,Assistant Beautician,Gangtok
31,Male,Higher Secondary Pass,Customer care executive ,15662,Salaried,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,Pune,Kothrud,Pune,MAHARASHTRA,India,Customer care executive ,Pune
25,Male,10th Pass,P.Applicator,300,Wage Employment- Full Time,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,North 24 Parganas,Korachandigarh ,North 24 Parganas,WEST BENGAL,India,P.Applicator,"Sodepur,H.B Town, kolkat"
19,Female,Higher Secondary Pass,Associate,49273,Salaried,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,Gautam Buddha Nagar, New Ashok nagar,East Delhi,DELHI,India,Associate,Noida
21,Female,10th Pass,self employed ,7000,Self Employed,Unmarried,No,Self Employed Tailor,Apparel,Bharuch,Gariyadhar,Bhavnagar,GUJARAT,India,self employed ,gariyadhar 
31,Female,10th Pass,general duty assistant,4800,Salaried,Married,No,Certificate Course for Data Entry Operator - 2,Others,Indore,Diken ,Neemuch,MADHYA PRADESH,India,GDA (Nurse) ,Diken
27,Female,Graduation,general duty assistant,4800,Salaried,Married,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Indore,Deeken,Neemuch,MADHYA PRADESH,India,Nurse (GDA) ,Diken
21,Male,Higher Secondary Pass,computer operator,27000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Bangalore,GALIVEEDU,Cuddapah,ANDHRA PRADESH,India,operator,Galiveedu 
19,Female,10th Pass,Associate,13646,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Jhajjar,Pelpa,Jhajjar,HARYANA,India,Associate,Jhajjar
26,Male,Higher Secondary Pass,Computer Operator,8500,Wage Employment- Full Time,Unmarried,No,Data Entry Operator,IT-ITeS,Bangalore,Birla Tyres,Baleswar,ODISHA,India,Computer Operator,Balasore
23,Female,6 to 9,ASSISTANT PAINTER,12000,Wage Employment- Full Time,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,South Delhi,Camp Khizrabad,South Delhi,DELHI,India,ASSISTANT HELPER,GREATER KAILASH
26,Female,10th Pass,ASSISTANT PAINTER,12000,Wage Employment- Full Time,Unmarried,No, Certificate Course for Assistant Construction Painter & Decorator,Construction,South Delhi,Khizrabad,South Delhi,DELHI,India,ASSISTANT HELPER,GREATER KAILASH
19,Female,10th Pass,Assistant Beautician,6500,Wage Employment- Full Time,Unmarried,No,Kia HMV Drivers Training_APSRTC,Automotive,Kolkata,Kolkata,Kolkata,WEST BENGAL,India,Assistant Beautician,Kolkata
20,Female,10th Pass,Assistant Beautician,7000,Wage Employment- Full Time,Unmarried,No, Certificate Course for Assistant Construction Painter & Decorator,Construction,Kolkata,Kolkata,Kolkata,WEST BENGAL,India,Assistant Beautician,Kolkata
23,Female,Graduation,BUSINESS EXECUTIVE,18600,Salaried,Unmarried,No,Certification Course for Retail Sales Associate-1_RSA-1,Retail,Chennai, thuraipakam ,Kanchipuram,TAMIL NADU,India,BUSINESS EXECUTIVE,CHENNAI TARAMANI
23,Female,Graduation,Beautician,6500,Self Employed,Unmarried,No,Certification Course for Retail Sales Associate-1_RSA-1,Retail,Pondicherry,Sulthanpet,Pondicherry,PONDICHERRY,India,Beautician,Villianur
23,Female,10th Pass,Part time Tution ,7000,Self Employed,Unmarried,No,Certificate Course for Assistant Beauty Therapist,Beauty & Wellness,Tumkur,Rayacherlu ,Tumkur,KARNATAKA,India,Teacher ,Rayacherlu 
28,Female,Diploma Pass,Assistant beautician ,8000,Salaried,Unmarried,No,Certificate Course For Retail Sales Associate 1,Retail,Pondicherry,Moolakulam,Pondicherry,PONDICHERRY,India,Assistant beautician ,Puducherry 
39,Female,Higher Secondary Pass,Self Employed Tailor,6000,Self Employed,Married,No,Certificate Course For Retail Sales Associate 1,Retail,Cuddapah,Paidipalem ,Cuddapah,ANDHRA PRADESH,India,Tailor,Pidpalem
20,Female,10th Pass,Pradation,8250,Salaried,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,Pratapgarh,Bheru Ghati ,Chittorgarh,RAJASTHAN,India,Machine Operator,Bhilwara
33,Female,Graduation,Tailoring ,10000,Self Employed,Married,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,Bangalore,Kg Nagar ,Bangalore,KARNATAKA,India,Tailoring ,Bangalore 
20,Male,Higher Secondary Pass,Customer Care Executive,10000,Wage Employment- Full Time,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,Kolkata,Serampore,Hooghly,WEST BENGAL,India,Customer Care Executive,Ankuhati
29,Female,Higher Secondary Pass,owner,3500,Self Employed,Married,No, Certificate Course for CNC Operator,Automotive,Buldhana,Khamgaon,Buldhana,MAHARASHTRA,India,owner,khamgaon
